Club Rank,Club Name,Club Points
1,Bayern München,2032
2,SSC Napoli,2017
3,Real Madrid,1998
4,Manchester City,1978
5,Barcelona,1953
6,Arsenal,1909
7,Benfica,1882
8,Liverpool FC,1878
9,FC Porto,1870
10,Inter Milan,1869
11,Paris Saint-Germain,1867
12,RB Leipzig,1846
13,Borussia Dortmund,1831
14,Manchester United,1827
15,Newcastle United,1816
16,Palmeiras,1808
17,Ajax Amsterdam,1803
18,Chelsea FC,1798
19,1. FC Union Berlin,1791
20,AC Milan,1790
21,Roma,1786
22,Real Sociedad,1786
23,Tottenham Hotspur,1783
24,Atlético Madrid,1776
25,Atalanta,1775
26,Juventus,1770
27,Brighton & Hove Albion,1769
28,Flamengo,1765
29,Monaco,1764
30,Eintracht Frankfurt,1754
31,Red Bull Salzburg,1747
32,Marseille,1746
33,Internacional,1745
34,Lazio,1744
35,FK Red Star Belgrade,1743
36,Real Betis,1740
37,Freiburg,1738
38,Sporting,1736
39,Brentford FC,1733
40,Flora Tallinn,1729
41,Feyenoord,1729
42,Villarreal,1722
43,Slavia Prague,1718
44,PSV Eindhoven,1717
45,Shakhtar Donetsk,1717
46,Braga,1714
47,Bayer Leverkusen,1713
48,Fluminense FC,1712
49,Wolfsburg,1711
50,Celtic,1706
51,River Plate,1699
52,Athletic Bilbao,1699
53,Leicester City,1696
54,Al Hilal,1696
55,Lens,1695
56,Atlético Mineiro,1693
57,Lille,1692
58,Independiente,1686
59,Zenit St. Petersburg,1685
60,Rangers,1683
61,Sevilla,1676
62,Nice,1672
63,Dinamo Zagreb,1671
64,Partizan Beograd,1666
65,The New Saints,1664
66,1. FC Köln,1663
67,Rennes,1659
68,AZ Alkmaar,1659
69,PFC Ludogorets 1945 Razgrad,1658
70,FCI Levadia Tallinn,1656
71,FC Sheriff,1655
72,Fenerbahçe,1654
73,Aston Villa,1654
74,Lyon,1654
75,Fortaleza,1653
76,Club Brugge,1652
77,Olympiakos,1652
78,Sparta Prague,1649
79,Udinese,1648
80,Young Boys,1648
81,Kawasaki Frontale,1647
82,Al Ahly,1643
83,Viktoria Plzeň,1642
84,Tigres UANL,1642
85,CF Pachuca,1641
86,América,1640
87,Atlético PR,1639
88,Torino,1639
89,Huracán,1637
90,Fulham,1636
91,Mamelodi Sundowns FC,1635
92,Rayo Vallecano,1632
93,Corinthians,1631
94,Sassuolo,1629
95,Boca Juniors,1629
96,Mainz,1629
97,Crystal Palace,1628
98,São Paulo,1627
99,Union St.Gilloise,1627
100,Jeonbuk FC,1627
101,Molde FK,1625
102,Racing Club,1624
103,Osasuna,1624
104,Monterrey,1624
105,Galatasaray,1623
106,PAOK FC,1621
107,Al-Duhail SC,1621
108,Borussia Mönchengladbach,1620
109,Shakhtyor Soligorsk,1618
110,Wydad Casablanca,1618
111,Wolverhampton Wanderers,1615
112,Defensa y Justicia,1614
113,Maccabi Tel Aviv,1613
114,FC Twente,1612
115,West Ham United,1612
116,Leganes,1612
117,AC Monza,1612
118,Levante,1612
119,Celta Vigo,1608
120,Ulsan Hyundai,1607
121,Qarabağ,1606
122,América Mineiro,1606
123,Olimpia,1605
124,Ferencváros,1605
125,Persepolis,1604
126,KRC Genk,1604
127,Nacional,1603
128,Mallorca,1601
129,Dynamo Kyiv,1600
130,Reims,1600
131,Bologna,1600
132,Grêmio,1599
133,AEK,1598
134,Esperance de Tunis,1597
135,Slovan Bratislava,1596
136,CFR Cluj,1596
137,Auckland City,1595
138,Fiorentina,1595
139,PFC CSKA Sofia,1594
140,BATE Borisov,1593
141,Maccabi Haifa FC,1592
142,Cerro Porteño,1591
143,Cádiz CF,1587
144,Panathinaikos,1587
145,TP Mazembe,1585
146,Shamrock Rovers,1583
147,Nantes,1583
148,Trabzonspor,1579
149,Bodø / Glimt,1578
150,Al Nassr,1577
151,Zorya Luhansk,1574
152,CR Belouizdad,1573
153,Litex Lovech,1573
154,Talleres de Cordoba,1573
155,Getafe,1573
156,CSKA Moskva,1572
157,Yokohama F. Marinos,1572
158,Valencia,1572
159,San Lorenzo de Almagro,1571
160,Empoli FC,1571
161,RCD Espanyol,1570
162,Leeds United,1570
163,AEK Larnaca,1569
164,Tigre,1569
165,Libertad,1569
166,LDU de Quito,1569
167,København,1568
168,APOEL Nicosia,1568
169,Al-Sadd,1567
170,Dinamo Moskva,1567
171,Burnley,1567
172,Dacia Chisinau,1567
173,Werder Bremen,1566
174,Bolívar,1564
175,Girona,1564
176,Argentinos Juniors,1564
177,Nomme Kalju FC (EST),1563
178,FC Midtjylland,1561
179,Botafogo FR,1561
180,Santos FC,1560
181,Millonarios,1558
182,Nottingham Forest,1558
183,Colo Colo,1558
184,The Strongest,1556
185,Esteghlal,1556
186,Lokomotiv Astana,1556
187,İstanbul Başakşehir,1554
188,Portuguesa,1554
189,SD Huesca,1553
190,Universidad Católica,1553
191,Atlético Goianiense,1552
192,Vélez Sarsfield,1552
193,Olimpia,1552
194,Emelec,1552
195,Buriram United,1551
196,Granada,1551
197,SC Dnipro-1,1551
198,Beşiktaş,1550
199,Royal Antwerp FC,1550
200,Real Valladolid,1549
201,Bochum,1549
202,Bahia,1548
203,Newell's Old Boys,1548
204,Steaua Bucureşti,1545
205,Aucas,1545
206,Augsburg,1545
207,Lokomotiv Moskva,1544
208,Independiente,1544
209,Lecce,1543
210,RCA Raja Casablanca Athletic,1543
211,Apollon Limassol,1543
212,Hajduk Split,1542
213,El Zamalek,1542
214,FC Krasnodar,1541
215,Fortuna Düsseldorf,1541
216,Hellas Verona,1541
217,Hapoel Be'er Sheva,1540
218,Gent,1540
219,Hamburger SV,1539
220,Djurgården,1538
221,Dinamo Minsk,1537
222,Atlético Nacional,1537
223,Dnipro Dnipropetrovsk,1536
224,Barcelona SC,1535
225,Olimpija Ljubljana,1534
226,Santos Laguna,1534
227,Peñarol,1534
228,Everton FC,1533
229,Osijek,1533
230,KuPS,1533
231,Sporting Cristal,1533
232,Sepahan,1533
233,LD Alajuelense,1533
234,Al Ittihad,1533
235,Ingolstadt,1532
236,Slovácko,1531
237,Cuiaba,1531
238,Spartak Moskva,1530
239,Sturm Graz,1530
240,PFC Sochi,1530
241,Ceará SC,1530
242,FC Basel,1529
243,Vita Club,1529
244,Al Shabab,1529
245,Shanghai Port F.C.,1529
246,Carpi,1528
247,Rosario Central,1528
248,Stoke City,1526
249,Tolima,1525
250,FC Utrecht,1524
251,HJK Helsinki,1523
252,Guadalajara,1523
253,Patronato de Parana,1522
254,Maribor,1522
255,Zalgiris Vilnius,1521
256,Almería,1521
257,Al-Ain FC,1520
258,RSC Anderlecht,1520
259,Hammarby IF,1519
260,Hertha BSC,1518
261,Pyramids FC,1518
262,Urawa Red Diamonds,1518
263,Hoffenheim,1517
264,Red Bull Bragantino SP,1517
265,Eibar,1517
266,Swansea City,1515
267,Wigan Athletic,1515
268,Belgrano,1515
269,Pakhtakor Tashkent,1514
270,Sparta Rotterdam,1514
271,Al Hilal Omdurman,1514
272,KS Raków Częstochowa,1513
273,Lorient,1513
274,FBC Melgar,1513
275,Genoa,1512
276,Gimnasia y Esgrima La Plata,1512
277,Kairat Almaty,1511
278,Goiás,1511
279,CS Universitatea Craiova,1510
280,VfB Stuttgart,1510
281,DSC Arminia Bielefeld,1508
282,RC Strasbourg,1508
283,Sport Recife,1507
284,1º de Agosto,1507
285,AIK,1507
286,Levski Sofia,1506
287,BK Häcken,1506
288,Universidad Católica,1506
289,Lech Poznań,1506
290,Independiente Medellín,1505
291,AFC Bournemouth,1505
292,Kashima Antlers,1505
293,Shandong Taishan F.C.,1505
294,Sporting Gijón,1504
295,Zrinjski Mostar,1503
296,Etoile du Sahel,1503
297,U.S. Salernitana 1919,1503
298,Toluca FC,1502
299,Timişoara,1502
300,Estudiantes de la Plata,1502
301,Pafos FC,1502
302,Alianza Lima,1501
303,Malmö FF,1501
304,Čukarički,1501
305,Neath Athletic,1501
306,Vitória Guimarães,1500
307,Liverpool,1499
308,Birmingham City,1498
309,León,1498
310,Team Wellington,1498
311,Atletico Petro Luanda,1498
312,Rosenborg BK,1498
313,Atlético Tucumán,1497
314,Club Sport Herediano,1497
315,Deportivo Alaves,1497
316,ASD Spezia Calcio 2008,1496
317,Cruzeiro,1495
318,Aris Thessaloniki FC,1495
319,Club Atlético Platense,1494
320,Catania,1494
321,Adana Demirspor,1493
322,Al-Merreikh,1493
323,Deportivo Saprissa,1493
324,Vasco da Gama,1492
325,Elche,1491
326,Deportivo Xerez,1491
327,Dynamos,1491
328,Stade Malien Bamako,1490
329,Omonia Nicosia,1490
330,Barracas Central,1490
331,Connah's Quay,1490
332,Sochaux,1490
333,Nacional Asunción,1489
334,Monarcas Morelia,1488
335,Pohang Steelers,1487
336,Cagliari,1487
337,Philadelphia Union,1486
338,Alianza FC,1486
339,ASEC Mimosas,1486
340,Deportivo La Coruña,1486
341,Dunajska Streda,1486
342,Always Ready,1486
343,Universitario de Deportes,1485
344,CSD Comunicaciones,1485
345,Elfsborg,1485
346,Godoy Cruz Antonio Tomba,1485
347,Club Puebla,1483
348,Al Ahli,1483
349,Coritiba,1482
350,LASK Linz,1482
351,Spartak Trnava,1481
352,Santa Fe,1481
353,Jiangsu Suning FC,1481
354,Cruz Azul,1480
355,Rijeka,1480
356,Southampton,1479
357,Cherno More Varna,1479
358,River Plate,1479
359,Coton Sport,1479
360,Toulouse,1479
361,Neftçi,1479
362,Paide Linnameeskond,1478
363,Clermont Foot,1478
364,West Brom,1478
365,FC Infonet Tallinn,1476
366,Bolton Wanderers,1475
367,Dundalk FC,1475
368,Anorthosis,1475
369,Rapid Wien,1475
370,Los Angeles FC,1473
371,Baník Ostrava,1473
372,Ñublense,1473
373,Cardiff City,1472
374,Sanfrecce Hiroshima,1472
375,SK Sigma Olomouc,1471
376,Instituto Atlético Central Córdoba,1471
377,CA Central Cordoba,1471
378,Vitesse,1471
